ID,W,G,H,1B,2B,3B,HR,BB,SO,SB,BA,SLG,OPS,OBA
687,84,162,1467,965,303,47,152,531,1006,76,0.263375224,0.416517056,0.746139515,0.329622459
689,88,162,1431,933,302,24,172,492,1158,73,0.259286103,0.416198587,0.739270471,0.323071885
691,74,162,1472,913,330,31,198,619,1134,63,0.26676332,0.44545125,0.789597709,0.344146459
693,87,162,1466,937,308,30,191,557,1021,66,0.262582841,0.431130217,0.767286152,0.336155935
695,68,162,1423,937,266,24,196,547,1221,99,0.256488825,0.419069935,0.747945217,0.328875282
697,86,162,1448,930,325,27,166,651,1155,72,0.261230381,0.419447952,0.762059691,0.342611739
699,64,162,1442,1025,257,32,128,565,1073,76,0.260712349,0.388175737,0.72134765,0.333171913
701,77,162,1473,1014,276,33,150,476,838,129,0.268452706,0.412793876,0.743161318,0.330367441
703,86,162,1445,903,303,19,220,519,916,77,0.263349736,0.445780937,0.776984868,0.331203931
705,43,162,1312,919,201,39,153,443,1099,98,0.240029272,0.375045737,0.675129001,0.300083264
707,90,162,1567,1049,318,45,155,512,1027,94,0.277099912,0.431476569,0.772450781,0.340974212
709,93,162,1509,1047,290,33,139,586,989,108,0.271354073,0.410357849,0.754257945,0.343900096
711,71,162,1506,957,274,36,239,488,1052,65,0.265889831,0.453566384,0.783603073,0.330036688
713,51,162,1401,933,295,38,135,441,1022,53,0.252705628,0.392676768,0.702566152,0.309889384
715,89,162,1508,936,308,29,235,489,1080,66,0.267945984,0.458244492,0.786311556,0.328067064
717,68,162,1531,964,331,34,202,568,1181,44,0.274520351,0.454724762,0.79997813,0.345253368
719,92,162,1458,941,294,36,187,590,999,89,0.266642282,0.436174104,0.777933948,0.341759844
721,67,162,1361,907,276,27,151,496,925,109,0.248629887,0.391669711,0.705018502,0.313348791
723,86,162,1505,964,303,23,215,645,1133,100,0.266702109,0.442849548,0.788281338,0.34543179
725,91,162,1500,970,314,33,183,705,874,43,0.2704652,0.437973314,0.795205821,0.357232507
727,92,162,1603,1132,272,37,162,450,942,143,0.28246696,0.42907489,0.769834627,0.340759737
729,98,162,1613,993,373,25,222,659,1189,68,0.281993007,0.472377622,0.83236532,0.359987698
731,80,162,1565,1007,345,29,184,606,1009,94,0.27572234,0.44397463,0.7952711,0.35129647
733,58,162,1432,992,261,29,150,461,1057,67,0.258577104,0.397435897,0.719536339,0.322100442
735,101,162,1483,940,281,20,242,670,982,84,0.26831916,0.45775285,0.810684729,0.352931879
737,63,162,1544,1112,276,20,136,492,1058,110,0.269835722,0.396364907,0.727270544,0.330905636
739,77,162,1419,910,291,27,191,606,1094,67,0.255675676,0.421081081,0.753561899,0.332480818
741,79,162,1506,966,323,23,194,419,920,65,0.26969914,0.440007163,0.764309298,0.324302135
743,83,162,1499,1033,306,32,128,512,918,96,0.272446383,0.409487459,0.748420749,0.33893329
745,81,162,1413,892,327,19,175,531,1162,79,0.259361233,0.422723935,0.753922622,0.331198686
747,88,162,1494,1010,282,35,167,639,1083,116,0.26957777,0.423493324,0.771893769,0.348400446
749,82,162,1416,978,269,39,130,600,977,99,0.25736096,0.39131225,0.724430495,0.333118245
751,100,162,1494,1011,287,26,170,534,947,83,0.269772481,0.423076923,0.761867651,0.338790728
753,74,162,1492,980,296,27,189,447,902,83,0.2687804,0.43397586,0.761018853,0.327042993
755,99,162,1450,974,253,23,200,435,1002,137,0.262253572,0.424850787,0.747240806,0.32239002
757,71,162,1521,1025,283,45,168,384,1038,66,0.271510175,0.428061407,0.749519295,0.321457889
759,95,162,1520,1065,278,30,147,447,848,161,0.27027027,0.408783784,0.73391817,0.325134387
761,95,162,1552,1048,259,16,229,637,989,84,0.275960171,0.449857752,0.80457,0.354712247
763,69,162,1408,955,289,34,130,466,986,102,0.255674596,0.391320138,0.708586563,0.317266425
765,79,162,1528,928,311,29,260,495,1112,67,0.267319804,0.4683345,0.797534945,0.329200445
767,76,162,1506,977,331,38,160,504,965,76,0.266784765,0.423914969,0.755227778,0.331312809
769,66,162,1496,1013,271,46,166,395,928,121,0.267764453,0.421872203,0.740908825,0.319036622
