ID,Player,WAR/pos,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
759,Kelly Johnson\johnske05,4.2,2010,28,ARI,NL,154,671,585,93,166,36,5,26,71,79,1,148,2,3,2,12,13,7,0.284,0.37,0.496,0.865,*4/HD
763,Kenley Jansen\janseke01,0.1,2010,22,LAD,NL,26,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,*1/H
764,Kenshin Kawakami\kawakke01,0.0,2010,35,ATL,NL,18,31,24,2,3,1,0,0,1,3,0,9,0,4,0,1,0,0,0.125,0.222,0.167,0.389,*1
767,Kevin Correia\correke01,0.0,2010,29,SDP,NL,28,52,44,4,6,1,0,0,5,2,0,20,0,6,0,0,0,0,0.136,0.174,0.159,0.333,*1
772,Kevin Mench\menchke01,-0.4,2010,32,WSN,NL,27,29,27,2,3,0,0,0,1,2,0,6,0,0,0,0,0,0,0.111,0.172,0.111,0.284,*H/7
774,Kevin Mulvey\mulveke01,0.0,2010,25,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
780,Konrad Schmidt\schmiko01,-0.1,2010,25,ARI,NL,4,9,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.125,0.222,0.125,0.347,/*2*H
781,Kosuke Fukudome\fukudko01,1.2,2010,33,CHC,NL,130,429,358,45,94,20,2,13,44,64,1,67,0,3,4,5,7,8,0.263,0.371,0.439,0.809,*9H/D
782,Koyie Hill\hillko01,-0.5,2010,31,CHC,NL,77,231,215,18,46,13,1,1,17,12,3,61,0,3,1,5,1,0,0.214,0.254,0.298,0.552,*2/H5
783,Kris Benson\bensokr01,0.0,2010,35,ARI,NL,3,6,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.2,0.2,0.2,0.4,/*1
784,Kris Medlen\medlekr01,0.3,2010,24,ATL,NL,32,33,27,2,5,1,0,0,2,3,0,14,1,2,0,0,0,0,0.185,0.29,0.222,0.513,*1/H
786,Kyle Blanks\blankky01,0.2,2010,23,SDP,NL,33,120,102,14,16,6,1,3,15,15,0,46,3,0,0,1,1,0,0.157,0.283,0.324,0.607,*7/3H
790,Kyle Kendrick\kendrky01,-0.1,2010,25,PHI,NL,33,59,51,2,5,2,0,0,0,2,0,16,0,6,0,0,0,0,0.098,0.132,0.137,0.269,*1
791,Kyle Lohse\lohseky01,0.0,2010,31,STL,NL,21,37,35,2,6,2,0,0,3,0,0,8,0,2,0,0,0,0,0.171,0.171,0.229,0.4,*1/H7
792,Kyle McClellan\mccleky01,0.1,2010,26,STL,NL,68,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,*1
795,Lance Zawadzki\zawadla01,-0.2,2010,25,SDP,NL,20,42,35,4,7,2,0,0,1,5,2,7,0,2,0,1,1,0,0.2,0.3,0.257,0.557,*H/465
798,Lastings Milledge\millela02,0.5,2010,25,PIT,NL,113,412,379,38,105,21,3,4,34,28,3,62,3,2,0,7,5,3,0.277,0.332,0.38,0.712,*79H
799,LaTroy Hawkins\hawkila01,0.0,2010,37,MIL,NL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
800,Laynce Nix\nixla01,1.3,2010,29,CIN,NL,97,182,165,16,48,11,2,4,18,15,4,39,0,2,0,5,0,1,0.291,0.35,0.455,0.805,*7*H/89
801,Leo Rosales\rosalle01,0.0,2010,29,ARI,NL,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,*1
802,Livan Hernandez\hernali01,-0.1,2010,35,WSN,NL,35,71,61,2,9,1,0,1,3,1,0,13,0,9,0,2,0,0,0.148,0.161,0.213,0.374,*1/H
803,Logan Morrison\morrilo01,1.1,2010,22,FLA,NL,62,287,244,43,69,20,7,2,18,41,0,51,2,0,0,4,0,1,0.283,0.39,0.447,0.837,*7
804,Logan Ondrusek\ondrulo01,0.0,2010,25,CIN,NL,60,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,*1
805,Lorenzo Cain\cainlo01,2.0,2010,24,MIL,NL,43,158,147,17,45,11,1,1,13,9,0,28,1,0,1,1,7,1,0.306,0.348,0.415,0.763,*8/H79
807,Lucas Duda\dudalu01,-0.2,2010,24,NYM,NL,29,92,84,11,17,6,0,4,13,6,0,22,1,0,1,2,0,0,0.202,0.261,0.417,0.678,*7/H
810,Luis Atilano\atilalu01,-0.3,2010,25,WSN,NL,16,27,25,0,1,0,0,0,0,0,0,10,0,2,0,0,0,0,0.04,0.04,0.04,0.08,*1
811,Luis Castillo\castilu01,0.3,2010,34,NYM,NL,86,299,247,28,58,4,2,0,17,39,1,25,0,11,2,6,8,3,0.235,0.337,0.267,0.604,*4H
812,Luis Cruz\cruzlu01,-0.1,2010,26,MIL,NL,7,17,17,2,4,0,1,0,1,0,0,2,0,0,0,1,0,0,0.235,0.235,0.353,0.588,/*6H
813,Luis Durango\duranlu01,0.0,2010,24,SDP,NL,28,53,48,8,12,0,0,0,4,4,0,7,0,1,0,3,5,0,0.25,0.308,0.25,0.558,*H8
814,Luis Hernandez\hernalu01,0.5,2010,26,NYM,NL,17,47,44,4,11,1,0,2,6,2,0,7,1,0,0,1,1,0,0.25,0.298,0.409,0.707,*4/6H5
817,Luis Perdomo\perdolu01,0.0,2010,26,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
821,Luke Gregerson\gregelu01,0.0,2010,26,SDP,NL,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
826,Madison Bumgarner\bumgama01,0.2,2010,20,SFG,NL,20,44,39,2,7,1,0,0,3,2,0,11,0,3,0,1,0,0,0.179,0.22,0.205,0.425,*1/H
829,Manny Acosta\acostma01,0.0,2010,29,NYM,NL,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
830,Manny Corpas\corpama01,0.0,2010,27,COL,NL,56,7,5,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0.0,0.286,0.0,0.286,*1
832,Manny Parra\parrama01,0.2,2010,27,MIL,NL,42,38,34,2,6,2,0,0,1,3,0,14,1,0,0,0,0,0,0.176,0.263,0.235,0.498,*1
835,Marco Estrada\estrama01,0.0,2010,26,MIL,NL,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/*1
837,Marcos Mateo\mateoma01,0.0,2010,26,CHC,NL,21,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,*1
841,Mark DeRosa\derosma01,-0.7,2010,35,SFG,NL,26,104,93,9,18,3,0,1,10,9,0,16,2,0,0,6,0,2,0.194,0.279,0.258,0.537,*7/4H
844,Mark Hamilton\hamilma01,-0.2,2010,25,STL,NL,9,15,14,0,2,0,0,0,0,1,0,5,0,0,0,0,0,0,0.143,0.2,0.143,0.343,/*H3
